AFFX-HUMRGE/M10098_5_at	AFFX-HUMRGE/M10098_M_at	AFFX-HUMRGE/M10098_3_at	AFFX-M27830_5_at	D13639_at	D83735_at	D83920_at	D87433_at	D88270_at	D88422_at	HG987-HT987_at	J03909_at	J04102_at	J04164_at	J04456_at	J04615_at	K01911_at	L19686_rna1_at	L20971_at	M11717_rna1_at	M11722_at	M12759_at	M12886_at	M16279_at	M19507_at	M21005_at	M21624_at	M21904_at	M27891_at	M28826_at	M33882_at	M38591_at	M38690_at	M57710_at	M58459_at	M63573_at	M74719_at	M84526_at	M89957_at	M91036_rna1_at	M91438_at	M92934_at	M94345_at	M96326_rna1_at	U02020_at	U02687_at	U05259_rna1_at	U09770_at	U10485_at	U46499_at	U50743_at	U60644_at	X03934_at	X04500_at	X05908_at	X17042_at	X58529_at	X59871_at	X62744_at	X77737_at	X82240_rna1_at	X95735_at	Z22548_at	Z23090_at	Z69881_at	Z83821_cds2_at	Z84721_cds2_at	L08895_at	M23178_s_at	L33930_s_at	M25079_s_at	M87789_s_at	U05255_s_at	J03077_s_at	M21119_s_at	M34996_s_at	U89922_s_at	M13560_s_at	M16336_s_at	X64072_s_at	M28130_rna1_s_at	Y00787_s_at	M27783_s_at	M26311_s_at	U20734_s_at	M30703_s_at	M57731_s_at	M57466_s_at	M63438_s_at	U23852_s_at	X00437_s_at	X65965_s_at	X76223_s_at	AF000424_s_at	M21305_at	U57341_at	HG3576-HT3779_f_at	U01317_cds4_at	M15395_at	M34516_at	Class
AML4	3.33905	3.19396	2.93952	3.21352	2.62428	2	3.31091	2.83759	2.11394	3.58478	3.30255	3.58343	3.29447	3.34537	3.81445	2	2	2.88593	2.93095	2.57054	2.47276	2.76268	2	3.19838	3.0013	3.50974	2	3.53694	4.12372	2	3.38039	3.04218	2	3.79567	2	2	2.4183	3.82988	2	3.23779	3.42275	2	3.12969	3.99708	3.72321	2	2.33846	2	2.3962	2.87679	2.82543	3.22427	2.48714	3.74241	3.53744	3.92834	2.73239	2	3.14364	4.01127	2	3.41697	3.72673	3.04805	2	3.92293	3.83499	2	3.7364	2	2	4.09156	3.78796	3.89426	4.16161	2.90417	2	4.11611	2	3.64355	4.11324	4.20412	3.2003	3.83689	3.59627	3.89282	3.70209	2.716	4.19956	2.69197	2	4.13216	2	3.09132	2	3.73679	3.65292	4.20412	3.24969	3.99528	M
AML5	2.91328	2.71012	3.28735	3.59616	3.18837	2.50651	2	2	2	3.17811	2.17319	2	2	2	2.7574	2.56467	2.00432	2.64933	2.21219	2.64048	2.22011	2.1038	2	3.75136	3.75603	2	2.23805	3.45454	3.22037	2	2.28556	2.58995	2	3.81491	3.52776	2	2.69897	3.19562	2	4.20412	2.97727	2	2	3.42749	2.993	2	2.39967	2	2.53529	2.76118	2.83187	2	2.83187	2.08636	2.91803	3.1089	2.37107	2	2.1038	4.00642	2	3.22298	3.71617	2.90687	2.33041	4.12048	3.96431	2	3.07188	2	2	2.76641	3.91084	3.26741	2.24551	2	2	2.68842	2	2.14613	3.70518	4.00186	2.86153	2	3.36154	3.09026	2.67302	2	3.02243	2.57749	2	2.8848	2	2	3.3897	3.73552	2	4.20412	2.03342	2.94151	M
AML6	3.02735	2.69723	3.30942	3.233	3.43569	2.86982	2	2.38382	2.22531	2.4183	3.15897	2.82282	3.25479	3.21617	2.90037	2.82347	2	3.41397	3.24797	2.84011	2	2.29667	3.29732	3.29907	2.63246	2.5832	2	3.33806	3.0306	2	2.29667	2.33646	2.79588	2.2014	2	2	2.58433	2	2	3.4877	3.60617	2.43775	2.85431	2.73878	3.30514	2.52504	2	2	2	2.31806	2	2.549	2.77012	2.30963	2	3.89531	3.48473	2	3.32118	3.05192	2	3.34713	2.50786	3.36493	2.23553	3.07591	4.16521	2	3.16554	2	4.12998	3.38166	3.04454	3.41847	2	2.69197	2	4.07401	2	3.11926	4.0202	4.1819	2.48144	2.76716	3.94211	3.72132	3.62377	3.47986	3.46613	2.55023	2	3.25188	2	2.77159	2	2.8848	3.89719	3.43775	2.79239	3.07882	M
AML7	2.64542	2	2	2.42975	3.09132	3.22063	2.15534	2	2	3.19507	3.28825	2.95809	2.83059	2	3.80462	2	2	3.55437	2.53908	2.71265	2.47276	2	2.05308	3.48344	3.34321	2.83315	2	3.00903	3.84273	2	2.36361	2.17898	2.50379	3.76522	2	3.18498	2.87564	3.8175	2	3.83753	3.39742	2	2.92221	4.20412	2.71933	2	2.6149	2.14922	2.34635	3.02078	2.62325	2.23045	2.43775	2	3.21431	3.94738	2	2	3.08778	3.71433	2	3.52479	3.51322	2.15534	2.56937	3.71767	4.20412	2	2	2	3.88178	3.33786	3.69258	3.38952	2.75664	2.4609	2	3.83998	2	3.29314	3.21827	3.49192	4.03254	2.57287	2.76938	2.87679	2	3.23654	3.59868	2	2	2.82478	2	3.11126	2	3.32899	3.43297	3.95381	3.30557	3.09691	M
AML8	2	2	2	2.32015	2	2	3.04571	3.69205	2	3.98227	3.70672	3.85721	3.24279	2	4.20412	2	2	3.4979	2	3.84837	2.6149	2.24304	2	3.6001	2.54777	3.61584	2	3.42797	4.16301	2	2	3.85156	2	3.85382	3.60938	3.19507	2.4456	3.86759	2	2.9952	2.55991	2.01284	3.73544	3.99974	3.06258	2.81023	2.53529	3.41464	2.64542	3.11528	2	4.15287	2.50243	3.58512	4.01862	4.04151	2.46687	2	3.40466	3.04999	2	3.79365	2	3.92241	2.46538	2.60959	4.10013	2	3.23502	2	4.13802	3.60778	2	3.97077	3.53466	3.12613	2	4.20019	2	3.88173	3.4729	3.81331	3.34947	4.05903	3.47828	2.01284	3.02776	3.33325	3.50106	2.18469	2	3.93364	2	3.266	2	2.61172	4.00009	3.14891	3.74249	3.32181	M
AML9	3.95626	3.58569	3.45591	3.58872	3.18127	3.55376	2.62839	3.40858	2.23045	2.95134	3.19005	3.23578	3.09412	3.2938	3.73255	2	2	3.75572	2	2.22011	2.58546	2.51188	2	3.85339	4.04941	2.99913	2	3.17955	3.85962	2	2.50106	2.4183	2	2.6981	2	2.6561	2.71181	3.68422	2	3.02119	3.44731	2.01703	3.30664	3.89159	2.60314	2.86629	2.43457	3.08672	2.05308	3.31952	2.32838	3.47407	2.62221	2	3.32797	3.76708	2.71096	2	3.48073	2	2	3.18977	2.33846	3.24452	2.39445	2	3.98019	2	2.5682	2	4.20412	3.35005	2	3.39777	3.59483	2.38917	2.04922	4.20412	2	3.60595	2.83759	3.32139	3.03503	3.12418	2.64246	2	2.17609	3.28959	3.2413	2.50106	2	2.74663	2	3.58546	2	2.3032	3.9164	2.15229	3.43505	2.97909	M
AML10	3.71592	3.27161	3.13513	3.3249	3.24403	3.48954	3.35564	2.37475	2.16435	2.54033	3.36624	3.4143	3.12385	3.71617	3.34479	3.51268	2	3.36642	2.14301	2	3.10857	3.12123	3.82393	3.88406	2.32015	3.23578	2.21748	3.52297	4.09128	2	2.63749	2.80209	2	3.26788	3.49402	2	3.10346	2.14922	2	3.47188	4.12182	2	3.62034	2.98945	2.88195	3.16643	2.48572	2.94547	2.00432	2.22272	2.08279	3.04961	2.68574	3.19811	2.98588	3.51308	3.96047	2.24304	3.38578	2.74115	2	3.51812	2	3.3813	2.79099	2.25285	4.18284	3.06819	2.74507	2	4.20412	3.02694	2	3.84751	3.64611	3.05767	2.98498	4.08707	2	3.57703	3.85175	4.10432	2.57403	3.26174	3.61437	2	2.8848	3.31869	3.29447	2.88252	3.48116	3.10312	2	3.61087	2.85003	3.07737	4.04317	3.05192	3.42406	2.06446	M
AML11	3.09864	2	2.47712	2.93952	3.46075	2.86747	3.69566	2	2.27184	3.00561	3.24551	3.82556	2.83948	3.74966	3.29314	2.87795	2	2	3.15927	2.63649	2	2.4216	2	3.34753	3.90698	3.8076	2.22789	3.35102	3.56277	2	3.75089	3.2079	3.20817	3.82633	2	2	2.98856	3.30103	2	4.20412	2.63949	2.41664	3.041	3.61363	3.7626	2	2	2.6149	2.08636	3.22763	2.42975	2	2.76492	4.02461	3.48259	3.94719	3.0976	2	3.29601	3.59945	2	3.54183	2.77452	2.65418	2	3.67154	4.07504	2.12057	3.60043	2	2.39094	3.40756	3.14644	3.94091	4.1186	3.39445	2	4.14158	2	3.4612	4.11978	4.20412	3.62593	4.10305	3.50947	3.97635	3.99621	3.14983	3.59417	2.89265	2	3.87512	2	2.51322	2	3.72795	3.84323	3.53618	3.03981	3.27346	M
B20	2	2	2	3.807399713	2.658964843	2	2	2	3.302330929	2	2.294466226	2	3.127752516	2	2	3.354876423	2.975891136	3.126131407	2.158362492	2.096910013	3.939519253	2	2.136720567	3.852845818	2.69019608	2.970346876	2.096910013	2	2	2	2.146128036	2	2.56937391	2	2	2.852479994	3.437592032	2	3.43949059	2	2.311753861	3.533772058	3.148910993	2.797267541	2	2	4.112873002	3.004751156	2.414973348	2	2.681241237	2	2.667452953	2.994317153	2	2	4.127331609	2	3.561697533	2.385606274	3.362105319	2.250420002	2.807535028	4.096040554	3.32858345	2	3.688063697	2.787460475	2.103803721	3.491221576	3.965342836	2	2	3.089198367	2	3.55351894	3.250175948	4.204119983	2	2	2.525044807	2.869818208	2.033423755	2.625312451	3.469380136	2	2	3.505828034	2	2.866877814	2.012837225	3.283979284	2	2.354108439	3.987710943	2.382017043	3.867879783	2.181843588	2	2	B
B21	2	2	2	2	3.523226042	2.44870632	2.255272505	2	3.255995727	2	3.350054094	2.648360011	2	3.508664363	3.268577972	3.042181595	2	3.312177356	2.465382851	2.646403726	3.66407759	3.730862992	3.119255889	3.568905415	2	2	2.136720567	2	2	2	2	2.867467488	2.949877704	2.450249108	2.152288344	2	3.268577972	2	2	2.348304863	2	2.344392274	2.056904851	2.91750551	2.049218023	2	3.258397804	3.316808752	2.243038049	2	2.899820502	2.096910013	2.586587305	2.348304863	2.972665592	3.103461622	3.030599722	2	3.573567773	2	2	2.021189299	2	3.880356199	2.505149978	2	3.723373567	3.304921162	2	2.436162647	4.007064656	2	2	3.332842267	2	3.738622028	2	4.204119983	2	2.28780173	2.220108088	2.301029996	2.227886705	2	2.004321374	2	2	3.680063427	2.793790385	2.392696953	2	2.369215857	2	2.068185862	3.13001195	2	4.019531685	2.603144373	2	2	B
B22	2	2	2	2.315970345	2.8162413	2	2	2	3.492760389	2.276461804	2.326335861	2.222716471	3.120244796	3.340047318	2.252853031	3.051152522	3.595826777	3.09482038	3.602710945	2.324282455	3.63918756	2.056904851	2.423245874	3.591398551	2.995196292	3.444044796	2	3.350441857	2.397940009	2	2.996073654	2.536558443	3.584557361	3.653983907	2	2.501059262	3.398113692	2	3.411282913	3.430236353	2	2.936513742	2.812244697	2.536558443	2.62838893	2	3.67669361	2	2.503790683	2	2	2	2.428134794	2.51054501	2	3.01911629	3.754424789	2	3.138302698	4.138365864	2.064457989	2	3.755417463	3.151676231	3.225567713	4.122543524	3.944877306	2.702430536	2.509202522	3.432809005	2	3.459241665	3.70918513	3.476831629	2.984977126	2.877371346	2.913283902	4.029627239	2	2.495544338	2.346352974	3.005180513	3.065206128	3.405175546	3.123198075	2	2	3.304705898	2.981818607	2.416640507	2	3.607240504	2.556302501	2.799340549	3.726156466	3.693463127	3.593839661	4.204119983	2.469822016	2.51054501	B
B23	2	2	2	2.230448921	3.442636526	2.762678564	2	2.068185862	3.284205068	2.021189299	3.053846427	3.127752516	2.759667845	3.668385917	2.954724791	2.948412966	2	3.401572846	2.685741739	2.914343157	3.867408557	3.394276527	3.039017322	3.654080235	2.848804701	2.408239965	2	2.290034611	2.029383778	2	3.311329952	2	2.611723308	2.721810615	3.277609214	3.388456453	3.294686624	2.307496038	2.716837723	3.902492421	2.709269961	2.120573931	2	2.92992956	2.271841607	3.362293938	3.408070286	2.318063335	2.615950052	2	2.702430536	2	2.474216264	2.854913022	2	3.389166084	3.163757524	2	3.275080898	3.397592434	2.326335861	2.600972896	2.303196057	3.618257345	3.242541428	3.340245762	4.204119983	2.725094521	2.184691431	2.457881897	4.204119983	4.204119983	3.16879202	3.290479813	2.432969291	2.926342447	2.167317335	4.074999186	2	2.762678564	2	2.294466226	2.442479769	2.260071388	2.780317312	2	2.404833717	3.281941933	4.204119983	2.766412847	2.294466226	2.567026366	2	2	2	3.400192489	3.657533888	3.735119634	2.851258349	3.773493892	B
B24	3.162265614	2.800717078	2.558708571	3.173477643	3.553276046	2.961421094	2	2.217483944	4.006765452	2	2.95568775	2.874481818	3.447158031	2.84509804	2.660865478	3.559786968	3.643353962	3.681693392	3.080987047	3.931762888	3.858296525	2	2.149219113	3.311541958	2.298853076	2.173186268	2	2	2	2	2.884795364	2	3.783903579	2.267171728	2	2.235528447	3.624797579	2	3.390228362	3.569490954	2.281033367	2.903089987	3.13289977	2.544068044	2.356025857	3.262925469	3.750662646	2	3.155032229	2	2	2.198657087	2.530199698	3.360593414	2	3.186673867	3.783474788	2	3.450557009	3.227372442	4.204119983	2.90579588	2.673020907	3.892261607	3.488409689	3.1752218	4.048985303	3.493179121	2.382017043	3.759818877	3.910997716	2	2.888740961	3.529430354	2	3.740362689	2.380211242	4.152869054	2	3.093421685	2	2	2	2.45331834	2.604226053	2	2.193124598	3.25163822	2.469822016	2.544068044	2	2.712649702	2	3.206825876	2	3.278067331	3.921842481	3.743117625	3.382017043	2.839478047	B
B25	4.01321654	3.780173244	3.580468784	4.10092168	3.123851641	2	2	2	3.887673552	2	3.249442961	2	2	3.317854489	2.563481085	2.944975908	2.492760389	3.199206479	2.276461804	2.267171728	3.819741297	2.505149978	2	3.824906471	3.111598525	2.086359831	2.089905111	2	2.595496222	2	2	2.749736316	3.265525335	2	3.334654767	2	3.048441804	2	3.480150725	2.227886705	2	2.482873584	2	2.336459734	2	2	3.967922207	3.144262774	2.970811611	2	2	2	2.723455672	2.372912003	2	2.838849091	3.436957331	2.372912003	2.897627091	2	3.861175836	2	2	2	3.385069776	2	3.797890483	2.770115295	2.033423755	3.67292869	3.915294283	2	2	3.053846427	2.100370545	2	3.264581729	4.000130269	2	2	2	2.29666519	2	2	3.071882007	2	2	3.184975191	3.088136089	2.872156273	2	2.549003262	2	2.465382851	3.552303109	2.198657087	3.677789391	2	2	2.900913068	B
B26	2.017033339	2	2	2.44870632	2	2	2	2	3.589167391	2.354108439	3.46612587	2.387389826	2.997386384	2.178976947	3.836197481	3.009450896	2.133538908	3.554004321	2	2.73479983	3.172310969	2	2	3.416806872	2	2.895974732	2	2.882524538	2	2	2	2.880813592	2.73479983	2	2	3.05422991	2.6599162	2	3.341236623	3.839917776	2	2.918030337	3.197004728	2.844477176	2	3.28510703	3.559547556	3.225567713	3.219322508	2	2.40654018	2	2.556302501	2	2.086359831	3.072984745	3.859918485	2	3.222196046	2	3.137986733	2.401400541	2	3.23146959	3.169380495	2	3.981637425	2.906873535	2	2.872156273	4.032175377	2.378397901	2	2.649334859	2.198657087	3.057285644	2	3.962369336	2	2.170261715	2.176091259	2	2.583198774	2.720159303	2.854913022	2	2	3.695919253	2.086359831	2.374748346	2	2.10720997	2	2	2	2.421603927	3.619302076	2	2.62838893	2.610660163	B
B27	2.487138375	2	2	2.766412847	3.261500773	3.204119983	2.984977126	2	3.608419051	2.700703717	2.904174368	2.568201724	3.036628895	3.811709027	2.344392274	3.031004281	2.896526217	2.997823081	3.147057671	3.162564407	3.877371346	3.262213705	2.127104798	3.472171147	3.083860801	4.204119983	2	2	2	2	2.568201724	2.338456494	3.447932866	3.265053789	2	2.597695186	3.174641193	2	3.233757363	4.204119983	2.260071388	3.184123354	2.72916479	3.349277527	2.328379603	2	3.493458051	2	3.13289977	2.217483944	2.558708571	2	2.57054294	2.928395852	2.491361694	3.849050691	3.820004307	2	3.263399331	3.852601969	3.83384805	2	3.550839605	3.501059262	2.745855195	4.05415324	4.204119983	2.811575006	2	3.495405563	3.346548559	3.612783857	3.735519059	3.310693312	3.613524703	2.328379603	2.922206277	4.023540522	2	3.109915863	2	2	3.851869601	4.204119983	3.190891717	2	2	3.241048151	3.743509765	2.503790683	2	2.741939078	2	3.070037867	2	3.987755617	3.914237348	4.204119983	2.979548375	3.286007122	B
B28	2.348304863	2	2.404833717	4.204119983	3.23299611	2	2	2	3.595385981	2	2.387389826	2.204119983	2.619093331	2.330413773	2.212187604	3.259832699	3.440594262	3.503790683	2.190331698	2	3.94403828	2	2	3.705007959	2	2.916453949	2	3.04453976	2.700703717	2	2.658011397	2.089905111	3.305136319	2	2	2.606381365	3.384711743	2	3.287129621	2.589949601	2	3.110926242	2.766412847	2.51851394	2	2	4.079145053	2.755874856	2.802773725	2	2.799340549	2	2.414973348	2.380211242	2	2.190331698	3.530711838	2	3.490239485	2.008600172	3.858055718	2	2.976349979	3.225567713	3.197831693	2	3.996511672	3.179551791	2	3.39252109	4.204119983	3.203848464	2	3.144574208	2	3.632153484	3.72794771	4.204119983	2	2	2.037426498	2	2.195899652	2.788875116	2	2	2	3.913866812	3.20709554	2.586587305	2	2.322219295	2	3.009025742	3.333245699	2.530199698	3.932980822	2.675778342	2.222716471	2.255272505	B
B29	2	2	2	4.182271957	3.161368002	2	2	2	3.842297134	2	2.477121255	2.50242712	3.278524965	3.036229544	2.695481676	3.024485668	3.370328008	3.502836639	3.104145551	3.894316063	4.090152201	2	2	3.417471693	2	2.418301291	2	3.089551883	2	2	3.070037867	2	3.689220037	2	3.518118947	2	3.440279213	2	3.42143939	3.459693976	2	2.51851394	2.989449818	2.7930916	2.187520721	3.155943018	3.62324929	2	3.510946949	2	2.703291378	2.303196057	2.390935107	3.33485569	2	3.122870923	3.601516784	2	3.145817714	2	3.837840862	2	2.408239965	4.204119983	2.72427587	2.068185862	4.126196368	2.970346876	3.186673867	3.046104787	4.204119983	3.179838928	2	3.34084055	2	3.20167018	2	4.129722109	2	3.282848603	2	2.173186268	2.017033339	2	3.641573253	2	2	3.627365857	2.673020907	2.403120521	2	3.012837225	2	2	2.860338007	2.553883027	3.811172695	2.380211242	3.369772289	2.889861721	B
B30	2.463892989	2	2.514547753	4.204119983	3.218272854	2.937517892	2	2	3.543819805	2	2	3.068556895	2.984527313	3.041787319	2.571708832	3.131939295	3.351216345	3.293362555	3.027349608	2.939019776	3.735039705	2.037426498	2.322219295	3.29578694	2	2.328379603	2.187520721	2.492760389	2	2	3.046885191	2.130333768	3.288696261	2	2	3.045322979	3.612465964	2	3.479143248	3.436639632	2	2.705863712	3.258158193	2.238046103	2	2.785329835	3.531861949	2.33243846	2.51851394	2	2.354108439	2	2.606381365	2.958085849	2	2.451786436	3.670709595	2	3.493736802	2	4.029099567	2	2	3.582744966	3.042575512	2.269512944	4.204119983	2.992553518	2	3.078819183	4.204119983	3.008600172	2	3.415974411	2	3.18920949	3.059184618	4.169556882	2.021189299	2.947433722	2	2	2.214843848	2.322219295	3.606596309	2	2	3.615950052	2.736396502	2.462397998	2	2.891537458	2	2.530199698	2.799340549	2.918030337	4.077694866	2.501059262	2.942999593	2.571708832	B
B31	3.923140356	3.62797999	3.834611421	4.204119983	2.204119983	3.270445908	2	2	3.518777069	2.068185862	2.752816431	2.552668216	2.23299611	3.375480715	2.550228353	3.137670537	2.478566496	3.526726867	2.23299611	2.117271296	3.215901813	3.082066934	2.84135947	3.263399331	2.962369336	3.251881455	2	2.656098202	2.378397901	2	2.344392274	2.338456494	3.163757524	2	2	2.403120521	2.640481437	2	3.449478399	2.651278014	2	2.663700925	2.940516485	2.846955325	2.075546961	2.075546961	3.689841409	2.919078092	3.327154512	2	2.416640507	2	2.620136055	2	2	2.541579244	4.051885379	2.553883027	3.028164419	2.733197265	3.594944737	2	2.489958479	3.558108302	3.001733713	2.536558443	4.204119983	2.315970345	2	3.317227349	4.204119983	2.854913022	2	3.103803721	2	3.117602692	3.562173863	4.077040698	2	2.84509804	2.187520721	2.372912003	2.797959644	3.056142262	3.631443769	2	2	3.334252642	4.065915668	2.906873535	2	2.667452953	2	2.929418926	3.813046965	3.154423973	3.400710637	3.186391216	2.950364854	3.866523626	B
B32	2	2	2	2.503790683	3.080626487	3.353339095	2	2	2.491361694	2.004321374	2	2.572871602	2.587710965	3.8192148	2.463892989	3.334453751	2.800717078	3.112939976	3.017867719	2	3.22297645	2.633468456	3.978408793	3.522183318	2	3.403120521	2.245512668	2	2	2	2.706717782	2.591064607	2	2	3.582517884	2.595496222	3.098643726	2	2.970811611	2.350248018	2.113943352	2.776701184	2.765668555	2.794488047	2.891537458	2	3.635182049	2.827369273	2.36361198	2	2	2	3.35755372	2.408239965	2	3.0523091	3.638089722	3.304705898	3.519565501	2	2.572871602	2.706717782	2.222716471	3.282622113	3.282848603	2	3.85985852	2.682145076	2	2.98721923	4.029830019	2.404833717	2	3.258876629	2.469822016	3.431685345	3.901458321	4.193625418	2.651278014	3.158663981	3.015359755	3.402261382	2	3.374381698	3.451939869	2	2	3.593064432	3.09131516	3.406369835	3.693726949	3.030599722	3.002597981	3.047664195	3.770925615	2.383815366	3.928344635	2	2.954242509	2.28780173	B
B33	2	2	2	2.539076099	3.044931546	3.234770295	2	2	3.311117843	2	2.278753601	2.257678575	3.499549626	3.289365952	2.451786436	3.30427505	3.474653253	3.50758604	3.245759356	2.037426498	3.122870923	2.92788341	3.400365273	3.821709997	2.492760389	2.925827575	2.31386722	2.053078443	2.656098202	2	2	2.45484486	2.209515015	2	2	2.833784375	3.349277527	2	2.870403905	2.933993164	2.021189299	3.093071306	2.768638101	2.267171728	2.737987326	2	3.814047721	3.188365926	2.836324116	2	2	2	2.843855423	2.71432976	2	3.132579848	4.019324037	2.820857989	3.628491105	2.371067862	3.708675793	2.620136055	2.056904851	3.548880563	3.167021796	2	4.190471771	2.630427875	2.206825876	3.580810973	4.204119983	3.412964272	2	3.348304863	2.089905111	3.369215857	3.479287316	4.17368149	2	2.64246452	2.096910013	2.409933123	2.187520721	2.589949601	3.19368103	2	2	3.699751032	3.558468563	2.82672252	3.011570444	3.554852434	2	2.88422877	3.787885351	2.770852012	3.852967691	2.33243846	2.457881897	2.957607287	B
B34	2	2	2	2.624282096	3.508933526	3.307067951	2.440909082	3.038620162	3.896140251	2.309630167	3.536558443	2.802089258	3.273232834	3.264581729	4.204119983	2	2	3.435525851	2.870403905	2.980911938	3.752278985	2.622214023	2	4.036948112	2	3.671913012	2	3.208172527	2.212187604	2	2.631443769	3.515873844	3.477699928	2.222716471	3.111934276	3.282395505	3.006037955	2.06069784	3.343014497	2.227886705	2.342422681	2.655138435	3.497344381	2.759667845	2.474216264	3.529943402	3.785401025	3.174641193	3.485721426	2	2.399673721	2.531478917	2.519827994	3.038620162	3.096910013	3.35831564	3.632153484	2	3.434888121	2	3.319730494	3.285782274	2.960470778	3.388278863	3.407050815	2.276461804	4.132771829	2.861534411	2.127104798	2.495544338	4.204119983	3.263399331	2	2.854306042	2.710963119	3.104828404	2	4.086573366	2.298853076	2.702430536	2.389166084	2.409933123	2	3.706376356	3.357172258	2.385606274	2	3.688152756	3.468790262	2.408239965	2	2.693726949	2	2	3.200850498	2.630427875	3.916506587	2.589949601	2.95568775	3.21005085	B
B35	2	2	2	2.346352974	3.642662331	3.308564414	2	2	3.813180533	2.250420002	2.864511081	3.226084116	3.298197867	3.937317248	3.2929203	2.837588438	3.292256071	3.459693976	3.277150614	2.841984805	3.683947131	2	3.658488381	3.535673803	2.890421019	3.031812271	2.771587481	3.405004665	2	2	3.660675788	2.255272505	3.805908455	2.071882007	3.597585502	3.151982395	3.394101302	2	3.625106575	3.644143051	2	2.802089258	3.62930764	2.432969291	2.403120521	3.056523724	3.665956029	2.786751422	3.474507639	2	2	2.326335861	3.080987047	3.487421211	2	3.327971624	3.74028372	3.062205809	3.442166086	2.565847819	4.158905021	2.596597096	2.682145076	3.428458774	3.431041945	3.098989639	4.04719696	3.225050696	2.494154594	3.42975228	3.234264124	2.630427875	2.240549248	3.712060142	2	2.799340549	3.726319612	4.171901891	2.357934847	3.209246849	2	2.178976947	2.666517981	2.91750551	3.741702984	2	2	3.829561056	3.308137379	3.29578694	3.454234896	3.26599637	2.758911892	3.153814864	2.661812686	3.272537777	4.071255878	3.113274692	3.406028945	2.965671971	B
T9	2.025305865	2	2	2.301029996	3.053846427	3.592620821	3.486146997	2	2.173186268	2.53529412	3.17868924	3.314077992	2.240549248	4.204119983	3.913283902	3.13289977	2	3.502563669	3.176091259	2	2	2.136720567	3.391640703	3.74296067	2	3.343605508	4.006252051	2	3.320146286	2	3.084576278	2.770852012	2	3.358505911	3.472024698	3.010299957	2.496929648	2.173186268	2	2.56937391	3.389520466	2	3.429429264	2.710117365	3.14113609	2	2.849419414	2.243038049	2.190331698	2	2	2	3.59117595	2.056904851	2.5774918	3.643551369	2.683047038	2.904715545	2.699837726	2	2	3.389343311	2	2	3.282848603	3.065206128	4.204119983	2.378397901	2.181843588	2	4.204119983	2.754348336	2	3.740915076	3.318063335	2.552668216	3.109240969	3.523616419	2	3.2219356	3.331832044	3.765668555	2	3.725176301	3.594060901	2	2.549003262	2.311753861	2.613841822	3.32674538	3.33264041	3.055760465	2	3.415807728	2.220108088	3.051152522	3.36361198	2	3.462248215	2.29666519	T
B36	2	2	2	2.017033339	2.068185862	2	3.108226656	2.029383778	3.165837625	2.271841607	3.033423755	2.698100546	2	2.892651034	3.501059262	2.320146286	2.619093331	3.507855872	2	2.803457116	3.202760687	2	2	3.013258665	3.355834496	3.683047038	2	2	2.555094449	2	2.264817823	2.627365857	2.805500858	2	2	3.078456818	2.103803721	2	2.909020854	3.787531316	2	2.127104798	2.805500858	3.24723655	2.086359831	2.445604203	3.215373153	2.828659897	2.489958479	2	2	2	2.619093331	2	2	3.313234292	3.07371835	2	2.85308953	2.673020907	3.486855355	2.943494516	2	3.018284308	2.629409599	2.305351369	4.204119983	2.434568904	2.158362492	2.315970345	4.204119983	3.246005904	2.195899652	3.265760917	2.209515015	2.924795996	2	3.974787932	2	2.912753304	2	2	3.322632712	3.987710943	2.624282096	2	2	2.828659897	2.214843848	2.359835482	2	2.457881897	2	3.278067331	3.370883017	2.803457116	3.256236533	2.778874472	2.737192643	3.312600439	B
B37	2	2	2	2.550228353	3.161068385	2	3.059941888	2	3.560504415	2.227886705	2.08278537	2.574031268	2	2.173186268	2	2.843232778	3.783474788	3.155032229	2.451786436	2.606381365	3.656768779	2.209515015	2.893206753	2	2.471291711	4.0040633	2.089905111	2	2.742725131	2	2.90579588	2	2.149219113	2.431363764	2	2.404833717	3.147057671	2	3.329804522	2.369215857	2	2.496929648	2.392696953	2.923761961	2.10720997	2	3.693814854	2	2.328379603	2.222716471	2.506505032	2	2.728353782	2.846337112	2	3.042181595	4.01745073	2	3.087426457	2.214843848	4.170643023	2.209515015	2	3.337059726	3.703635238	2.387389826	4.204119983	2.706717782	2	3.300595484	4.204119983	3.112269768	2	3.304490528	2.88592634	2.745074792	2.968015714	4.118231648	2	2	2	2	2.996073654	3.966798546	2.344392274	2	2	3.589726256	2.673020907	2.600972896	2	2.404833717	2	2.785329835	4.015611205	2.985875357	3.692229836	3.18582536	2.451786436	2.492760389	B
